am_id,amenity,hotel_id
3676,"Valet parking",299120
3677,"Free High Speed Internet (WiFi)",299120
3678,"Fitness Centre with Gym / Workout Room",299120
3679,"Bar / lounge",299120
3680,"Entertainment staff",299120
3681,Babysitting,299120
3682,"Children Activities (Kid / Family Friendly)",299120
3683,"Airport transportation",299120
3684,"Paid private parking on-site",299120
3685,Wifi,299120
3686,"Fitness / spa changing rooms",299120
3687,Restaurant,299120
3688,"Breakfast available",299120
3689,"Breakfast buffet",299120
3690,"Breakfast in the room",299120
3691,"Kid-friendly buffet",299120
3692,"Poolside bar",299120
3693,"Car hire",299120
3694,"Taxi service",299120
3695,"Business Centre with Internet Access",299120
3696,"Conference facilities",299120
3697,"Banquet room",299120
3698,"Meeting rooms",299120
3699,Spa,299120
3700,Massage,299120
3701,Salon,299120
3702,"Rooftop terrace",299120
3703,"24-hour security",299120
3704,"Baggage storage",299120
3705,Concierge,299120
3706,"Currency exchange",299120
3707,"Gift shop",299120
3708,Newspaper,299120
3709,Shops,299120
3710,"Butler service",299120
3711,Doorperson,299120
3712,"24-hour front desk",299120
3713,"Dry cleaning",299120
3714,"Laundry service",299120
3715,"Ironing service",299120
3716,Shoeshine,299120
3717,"Allergy-free room",299120
3718,"Soundproof rooms",299120
3719,"Air conditioning",299120
3720,Housekeeping,299120
3721,"Interconnected rooms available",299120
3722,"Room service",299120
3723,Minibar,299120
3724,"Flatscreen TV",299120
3725,Safe,299120
3726,"VIP room facilities",299120
3727,Iron,299120
3728,Refrigerator,299120
3729,"Bridal suite",299120
3730,"Non-smoking rooms",299120
3731,Suites,299120
3732,"Family rooms",299120
3733,"Smoking rooms available",299120
3734,"Valet parking",299124
3735,"Free High Speed Internet (WiFi)",299124
3736,Pool,299124
3737,"Fitness Centre with Gym / Workout Room",299124
3738,"Bar / lounge",299124
3739,"Evening entertainment",299124
3740,"Nightclub / DJ",299124
3741,"Kids stay free",299124
3742,Wifi,299124
3743,"Hot bath",299124
3744,"Outdoor pool",299124
